"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled";1;"Battery";;;
2;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
3;"C1,C2";"C_1206_HandSoldering";2;"4.7uF";;;
4;"C3";"C_1206_HandSoldering";1;"10uF";;;
5;"C4,C5";"C_1206_HandSoldering";2;"22pF";;;
6;"C6";"C_1206_HandSoldering";1;"2.2uF";;;
7;"C7";"CP_Elec_6.3x5.3";1;"100uF";;;
8;"C8,C12";"CP_Elec_5x5.3";2;"10uF";;;
9;"C9,C11";"CP_Elec_4x5.7";2;"0.1uF";;;
10;"C10";"C_1206_HandSoldering";1;"100nF";;;
11;"D1,D2,D5,D6";"LED_0805_HandSoldering";4;"LED";;;
12;"D3";"D_SOD-123";1;"1N4148W";;;
13;"D4";"LED_RGB_5050-6";1;"LED_CRGB";;;
14;"IC1";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"74HC4050";;;
15;"J1";"USB_Micro-B";1;"USB_B_Micro";;;
16;"J2";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"AVR ISP";;;
17;"L1";"L_7.3x7.3_H4.5";1;"6.8uH";;;
18;"L2";"C_1206_HandSoldering";1;"Ferrite Bead";;;
19;"Q1,Q2";"SOT-23";2;"BC817";;;
20;"R1";"R_0805_HandSoldering";1;"2K";;;
21;"R2";"R_0805_HandSoldering";1;"470R";;;
22;"R3";"R_0805_HandSoldering";1;"1.87M";;;
23;"R4";"R_0805_HandSoldering";1;"340K";;;
24;"R5,R6,R7,R9,R10,R11";"R_0805_HandSoldering";6;"1K";;;
25;"R8,R13,R14,R15,R16,R17,R18,R22,R23,R24";"R_0805_HandSoldering";10;"10K";;;
26;"R12,R25";"R_0805_HandSoldering";2;"100K";;;
27;"R19";"R_0805_HandSoldering";1;"10R";;;
28;"R20,R21";"R_0805_HandSoldering";2;"270R";;;
29;"RV1";"Potentiometer_Trimmer-EVM3E";1;"10K Linear";;;
30;"SW1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"MUTE_SW";;;
31;"SW2";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"PROG_SW";;;
32;"SW3";"SW_PUSH_6mm";1;"SW_UP";;;
33;"SW4";"SW_PUSH_6mm";1;"SW_DOWN";;;
34;"SW5";"SW_PUSH_6mm";1;"SW_LEFT";;;
35;"SW6";"SW_PUSH_6mm";1;"SW_RIGHT";;;
36;"SW7";"SW_PUSH_6mm";1;"SW_ENTER";;;
37;"SW8";"SW_PUSH_6mm";1;"SW_MENU";;;
38;"U1";"SOT-23-5_HandSoldering";1;"MCP73831-2-OT";;;
39;"U2";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATmega328P-AU";;;
40;"U3";"QFN-16-1EP_4x4mm_Pitch0.65mm";1;"TPS61092";;;
41;"U4";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
42;"U5";"SOIC-16W_7.5x10.3mm_Pitch1.27mm";1;"74HCT4051";;;
43;"U6";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"FT232RL";;;
44;"U7";"Pin_Header_Straight_1x08_Pitch2.54mm";1;"NOKIA5510";;;
45;"Y1";"Crystal_SMD_HC49-SD_HandSoldering";1;"16MHz";;;
46;"G***";"silk_small_nexus";1;"silk_small_nexus";;;
47;"U8";"SOT-23-5_HandSoldering";1;"24LC16BT-I_OT";;;
48;"TP1";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"SCL";;;
49;"TP2";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"SDA";;;
